Name,DAA,Artificial Intelligence,Microprocessor,COA
Alexander,17,99,29,85
Olivia,15,84,40,40
Benjamin,23,44,76,46
Sophia,55,64,56,69
Ethan,53,53,49,43
Isabella,46,37,63,17
Liam,64,55,74,66
Emma,41,37,26,65
Noah,61,71,77,64
Mia,16,57,90,56
Mason,49,90,13,98
Ava,16,45,44,45
Lucas,78,74,31,85
Charlotte,88,72,31,27
Elijah,85,6,10,85
Amelia,45,41,26,12
James,39,45,100,70
Harper,84,97,70,96
Aiden,34,71,35,47
Lily,95,32,91,48
Samuel,48,59,60,58
Grace,72,78,40,78
Henry,46,89,83,64
Chloe,85,10,62,62
Sebastian,32,31,89,30
Evelyn,27,78,63,98
Jackson,87,45,73,48
Abigail,27,96,89,49
Wyatt,13,18,80,82
Zoey,69,90,42,94
Nathan,84,85,14,24
Layla,59,12,45,64
Gabriel,34,18,39,94
Hannah,36,95,55,46
Owen,17,75,56,71
Aria,8,72,78,14
Caleb,44,55,51,94
Scarlett,58,16,64,67
Leo,64,20,86,84
Ellie,23,84,42,43
Julian,79,82,99,81
Aurora,22,86,36,38
Levi,43,65,18,26
Nora,64,18,73,37
Isaiah,58,52,99,44
Addison,19,98,85,86
Daniel,40,61,63,80
Stella,72,51,50,56
Matthew,66,45,76,30
Mila,15,25,45,68
